"plot_id","closest_SW_distance_m","closest_SE_distance_m","log_closest_SW","log_closest_SE","predicted_DGR_se_only","predicted_DGR_se_only_lwr","predicted_DGR_se_only_upr","predicted_DGR_sw_se","predicted_DGR_sw_se_lwr","predicted_DGR_sw_se_upr"
"035_5",16.1732890414919,43.4542017093436,2.78336105683177,3.77170754920736,3.10292223589718,3.05251164896359,3.15333282283077,3.04876152442307,2.99703837189903,3.10048467694711
"035_6",204.265613162828,45.0707721647171,5.31942117225229,3.80823396912107,3.11414226780584,3.07353591758083,3.15474861803086,3.33792385627806,3.15512773813692,3.52071997441921
"036_1",16.8929494510934,44.8598940841237,2.82689634263714,3.8035441680577,3.11272146247202,3.07140109026923,3.15404183467481,3.06893788088816,3.02625741080378,3.11161835097254
"036_2",15.0422961108403,44.2526579225978,2.71086597381345,3.78991543569745,3.10855539595456,3.06420352972178,3.15290726218734,3.03210494299691,2.97780700160527,3.08640288438856
"036_3",15.5011786943474,44.6604219212863,2.74091606583055,3.79908769377639,3.11136491408678,3.06920740600963,3.15352242216393,3.04295218191434,2.99461140345872,3.09129296036996
"036_4",16.3949858025027,43.8806334640401,2.79697554433117,3.78147307158451,3.10595159007224,3.0590529693997,3.15285021074477,3.05505134039676,3.00706737793507,3.10303530285845
"036_5",15.1624466273042,45.3626165353336,2.71882175421808,3.81468834151541,3.11608511756412,3.07617883846817,3.15599139666007,3.0401444666663,2.99018377298337,3.09010516034923
"036_6",104.818188337066,44.0985524559958,4.65222730966299,3.786426957787,3.10748136450426,3.06213573590322,3.15282699310529,3.38712591395349,3.2684340186428,3.50581780926419
"037_1",16.5456632031268,46.1811687346678,2.8061240253769,3.83257211184923,3.12137793752559,3.08175131109608,3.1610045639551,3.06942246932123,3.02796090474453,3.11088403389794
"037_2",15.9974982357477,45.2728792032619,2.77243234974847,3.81270816011599,3.11549069236635,3.07540442814277,3.15557695658992,3.05522011253733,3.01178057394382,3.09865965113085
"037_3",15.4515046363433,45.8771848800794,2.73770638606749,3.82596793205433,3.11944043554777,3.07998397967163,3.15889689142391,3.04813575432191,3.00119260574728,3.09507890289655
"037_4",15.6089242004623,45.3459636202427,2.74784281482138,3.81432116753365,3.11597501001431,3.07603767502309,3.15591234500553,3.04846164102428,3.0026177178235,3.09430556422506
"037_5",16.0411903281068,45.1890851857029,2.77515980966666,3.81085557948522,3.11493323993371,3.07465073284749,3.15521574701992,3.05558867746493,3.01221338288214,3.09896397204771
"037_6",85.1978089309702,46.4277778965709,4.44497571673194,3.83789794166989,3.12292405242419,3.08294564438788,3.1629024604605,3.40044832164537,3.29740546182351,3.50349118146723
"041_1",16.7364288706942,51.3546632729607,2.81758771319317,3.93875574574612,3.14824125385141,3.08316576443569,3.21331674326712,3.09164742283882,3.02587378072916,3.15742106494848
"041_2",17.5327475219481,45.8210262568174,2.86407041922165,3.82474307434802,3.11907878081014,3.07961973482276,3.15853782679751,3.08458586162192,3.04200553829764,3.12716618494621
"041_3",16.7315354275358,45.68506874307,2.81729528768742,3.82177152116807,3.11819855087043,3.07868719755242,3.15770990418844,3.07029004526749,3.02918810379215,3.11139198674282
"041_4",17.4466625934618,44.7201249486177,2.85914837496778,3.80042362286391,3.11177219496011,3.06988170136146,3.15366268855876,3.07761752362012,3.03324667762335,3.12198836961689
"041_5",16.0406196446782,46.4870485762015,2.77512423290655,3.83917374855497,3.123292120579,3.0832027244644,3.16338151669361,3.06184637065457,3.01828910263074,3.1054036386784
"041_6",119.57406030808,46.8849645809943,4.78393593093694,3.84769703942701,3.12572667863178,3.08465219644544,3.16680116081812,3.39537130480578,3.26911661172714,3.52162599788442
"042_1",16.8926029115234,41.9699295247201,2.8268758285685,3.73695339816182,3.09204089862271,3.02539055823931,3.15869123900611,3.05295237035948,2.98654943750854,3.11935530321041
"042_2",16.2135339453357,47.743689247817,2.78584632218643,3.86584689584314,3.13075393245661,3.08640381140828,3.17510405350495,3.07041039364596,3.02347634233765,3.11734444495428
"042_3",16.4842926620566,46.7609421241336,2.8024079676296,3.84504828447903,3.12497477809678,3.08424988131337,3.16569967488019,3.07100792962386,3.02831935666795,3.11369650257977
"042_4",17.3037649087588,48.4374426100269,2.85092410261064,3.88027312228761,3.13457753688485,3.08679015064903,3.18236492312068,3.09207342869569,3.04240046535404,3.14174639203734
"042_5",16.459274623114,46.6376067154391,2.80088912520823,3.84240722673419,3.1242208075508,3.08380625468162,3.16463536041998,3.07001064790966,3.02758134326919,3.11243995255012
"042_6",69.7943160803932,47.7714179464869,4.24555257493961,3.86642750974315,3.13091090914819,3.08643448435595,3.17538733394042,3.3983654093609,3.30356445137262,3.49316636734918
"043_1",15.0210947323179,48.3006337888083,2.70945552865457,3.87744468249393,3.13384076842019,3.08677170895303,3.18090982788735,3.05049264012822,2.99254991437659,3.10843536587985
"043_2",17.7024704046408,47.3898069969916,2.87370420072434,3.85840716331857,3.12872075376167,3.08588119253286,3.17156031499047,3.0945262231525,3.04823318548969,3.14081926081531
"043_3",17.4021442026693,49.0790412156806,2.85659342866675,3.89343208451907,3.13791835322848,3.08657045568966,3.18926625076731,3.09607229607748,3.04286809982442,3.14927649233055
"043_4",15.5586694275303,48.1986163541667,2.74461800272434,3.87533031429943,3.13328581921948,3.08674082462188,3.17983081381708,3.06027437394256,3.00765947081036,3.11288927707477
"043_5",16.9089607283298,48.4623371495895,2.82784370202298,3.88078694265278,3.1347106851925,3.08679079262789,3.18263057775711,3.08544072966636,3.03612803077712,3.13475342855561
"043_6",74.1346274599975,49.6175670822384,4.30588273030052,3.90434494607084,3.14057583790422,3.08606863434018,3.19508304146826,3.40862918601972,3.30742402116155,3.50983435087789
"044_1",16.285851983514,48.0071138476488,2.79029675443149,3.87134920508594,3.13223135794695,3.08664050907791,3.17782220681598,3.07276264091808,3.02488699685291,3.12063828498325
"044_2",17.5787180307742,49.2263251317547,2.86668896757159,3.8964285440563,3.1386584913568,3.08645850446889,3.1908584782447,3.09953458584027,3.04511137598171,3.15395779569883
"044_3",15.190756840477,49.2171720349028,2.72068714028266,3.89624258770282,3.13861278716484,3.0864660517747,3.19075952255499,3.05709083697027,2.99647689718962,3.11770477675092
